episode_number,done,out_of_lane,exceed_max_rot,crashed,overlap,n_passed,num_steps
0,False,False,False,False,[0.],1,91
1,False,False,False,False,[0.],1,91
2,False,False,False,False,[0.],1,91
3,True,True,True,False,[0.],1,51
4,True,True,True,False,[0.],0,34
5,False,False,False,False,[0.],1,91
6,False,False,False,False,[0.],1,91
7,False,False,False,False,[0.],1,91
8,False,False,False,False,[0.],1,91
9,True,True,True,False,[0.],1,61
10,False,False,False,False,[0.],1,91
11,False,False,False,False,[0.],0,91
12,True,True,True,False,[0.],0,33
13,False,False,False,False,[0.],1,91
14,True,True,True,False,[0.],0,34
15,False,False,False,False,[0.],1,91
16,False,False,False,False,[0.],1,91
17,False,False,False,False,[0.],1,91
18,False,False,False,False,[0.],1,91
19,True,True,False,False,[0.],0,38
20,True,False,False,False,[0.],0,30
21,True,True,True,False,[0.],1,63
22,False,False,False,False,[0.],1,91
23,False,False,False,False,[0.],1,91
24,True,True,True,False,[0.],0,42
25,True,True,False,False,[0.],0,34
26,True,True,True,False,[0.],0,33
27,False,False,False,False,[0.],1,91
28,True,True,False,False,[0.],0,42
29,False,False,False,False,[0.],1,91
30,False,False,False,False,[0.],1,91
31,False,False,False,False,[0.],1,91
32,True,True,False,False,[0.],1,46
33,True,True,True,False,[0.],1,58
34,True,True,True,False,[0.],0,33
35,True,True,False,False,[0.],0,34
36,False,False,False,False,[0.],1,91
37,False,False,False,False,[0.],1,91
38,True,True,False,False,[0.],0,33
39,False,False,False,False,[0.],1,91
40,True,True,False,False,[0.],0,38
41,False,False,False,False,[0.],1,91
42,False,False,False,False,[0.],1,91
43,True,True,True,False,[0.],0,31
44,False,False,False,False,[0.],1,91
45,True,True,True,False,[0.],0,35
46,True,True,True,False,[0.],0,33
47,True,True,True,False,[0.],0,33
48,False,False,False,False,[0.],1,91
49,False,False,False,False,[0.],1,91
50,False,False,False,False,[0.],1,91
51,True,True,True,False,[0.],0,35
52,False,False,False,False,[0.],1,91
53,False,False,False,False,[0.],1,91
54,False,False,False,False,[0.],1,91
55,True,False,True,True,[0.],0,26
56,False,False,False,False,[0.],1,91
57,True,True,False,False,[0.],0,40
58,True,True,True,False,[0.],1,62
59,False,False,False,False,[0.],1,91
60,False,False,False,False,[0.],1,91
61,True,True,True,False,[0.],0,34
62,False,False,False,False,[0.],1,91
63,False,False,False,False,[0.],1,91
64,True,True,True,False,[0.],0,35
65,False,False,False,False,[0.],1,91
66,True,True,True,False,[0.],0,25
67,True,True,True,False,[0.],0,35
68,False,False,False,False,[0.],1,91
69,False,False,False,False,[0.],0,91
70,False,False,False,False,[0.],1,91
71,False,False,False,False,[0.],1,91
72,True,True,True,False,[0.],0,38
73,True,True,True,False,[0.],0,35
74,False,False,False,False,[0.],1,91
75,True,False,True,True,[0.],0,27
76,True,True,True,False,[0.],0,35
77,True,True,True,False,[0.],0,34
78,True,True,False,False,[0.],1,70
79,True,True,True,False,[0.],0,32
80,True,True,True,False,[0.],0,38
81,False,False,False,False,[0.],1,91
82,True,True,False,False,[0.],0,37
83,False,False,False,False,[0.],1,91
84,True,True,True,False,[0.],0,35
85,True,True,True,False,[0.],0,43
86,False,False,False,False,[0.],1,91
87,True,True,True,False,[0.],1,62
88,False,False,False,False,[0.],1,91
89,True,True,False,False,[0.],0,41
90,True,True,True,False,[0.],1,58
91,False,False,False,False,[0.],1,91
92,False,False,False,False,[0.],1,91
93,True,True,True,False,[0.],0,32
94,True,True,True,False,[0.],1,64
95,True,True,True,False,[0.],0,32
96,False,False,False,False,[0.],1,91
97,True,True,False,False,[0.],0,37
98,True,True,True,False,[0.],1,65
99,True,True,False,False,[0.],0,26
100,True,True,False,False,[0.],0,39
101,False,False,False,False,[0.],1,91
102,True,True,True,False,[0.],0,38
103,True,False,False,True,[0.00056251],0,24
104,True,True,True,False,[0.],0,37
105,False,False,False,False,[0.],1,91
106,True,True,False,False,[0.],0,36
107,True,True,True,False,[0.],0,36
108,True,True,True,False,[0.],0,34
109,False,False,False,False,[0.],1,91
110,False,False,False,False,[0.],1,91
111,True,True,True,False,[0.],0,33
112,False,False,False,False,[0.],1,91
113,True,True,True,False,[0.],0,39
114,True,True,True,False,[0.],0,43
115,False,False,False,False,[0.],1,91
116,False,False,False,False,[0.],1,91
117,False,False,False,False,[0.],1,91
118,True,True,True,False,[0.],0,33
119,True,True,True,False,[0.],0,33
120,False,False,False,False,[0.],1,91
121,True,True,False,False,[0.],0,39
122,True,True,True,False,[0.],0,35
123,True,True,False,False,[0.],1,68
124,True,True,True,False,[0.],0,33
125,True,True,True,False,[0.],0,36
126,True,True,True,False,[0.],0,35
127,True,True,True,False,[0.],1,62
128,False,False,False,False,[0.],0,91
129,False,False,False,False,[0.],1,91
130,False,False,False,False,[0.],1,91
131,False,False,False,False,[0.],1,91
132,False,False,False,False,[0.],1,91
133,True,True,True,False,[0.],0,34
134,True,True,True,False,[0.],0,32
135,False,False,False,False,[0.],1,91
136,False,False,False,False,[0.],1,91
137,False,False,False,False,[0.],1,91
138,True,True,False,False,[0.],0,39
139,False,False,False,False,[0.],1,91
140,False,False,False,False,[0.],1,91
141,True,False,False,True,[0.0123092],0,51
142,True,False,False,True,[0.04993144],0,50
143,False,False,False,False,[0.],1,91
